ID,TIMESTAMP,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
3, 195425, 2993, 3003, 2967, 2918, 2919, 2899, -5155, 13547, 95571, -2743, 1905, -1524, 771000, 1683000, -75000
3, 195493, 2993, 3003, 2967, 2918, 2919, 2899, -5191, 13302, 95565, -2667, 1905, -1371, 891000, 1659000, -63000
3, 195561, 2993, 3003, 2967, 2918, 2919, 2899, -5377, 13296, 95690, -2667, 1981, -1600, 963000, 1611000, -87000
3, 195726, 2993, 3003, 2966, 2918, 2920, 2899, -5329, 13428, 95469, -2667, 2057, -1600, 771000, 1659000, -69000
3, 195794, 2993, 3003, 2966, 2918, 2920, 2899, -5245, 13302, 95427, -2591, 1981, -1524, 819000, 1563000, -75000
3, 195862, 2991, 3003, 2966, 2918, 2920, 2899, -5167, 13506, 95475, -2667, 1905, -1448, 771000, 1563000, -75000
3, 195930, 2991, 3003, 2966, 2918, 2920, 2899, -5233, 13314, 95666, -2591, 1905, -1524, 939000, 1683000, -69000
3, 195998, 2991, 3003, 2966, 2918, 2920, 2899, -5215, 13362, 95499, -2667, 2057, -1448, 915000, 1563000, -69000
3, 196066, 2991, 3003, 2966, 2918, 2920, 2899, -5221, 13266, 95595, -2515, 1981, -1448, 963000, 1587000, -81000
3, 196134, 2991, 3003, 2966, 2918, 2920, 2899, -5161, 13422, 95684, -2667, 1905, -1448, 939000, 1611000, -69000
3, 196202, 2991, 3003, 2965, 2918, 2920, 2899, -5167, 13242, 95756, -2591, 1981, -1524, 939000, 1611000, -63000
3, 196270, 2991, 3004, 2965, 2918, 2920, 2899, -5221, 13165, 95607, -2515, 1981, -1600, 1059000, 1539000, -63000
3, 196435, 2990, 3004, 2965, 2918, 2920, 2898, -5347, 13314, 95702, -2667, 1829, -1524, 771000, 1635000, -57000
3, 196503, 2990, 3004, 2965, 2918, 2920, 2898, -5179, 13374, 95589, -2667, 2134, -1524, 939000, 1659000, -81000
3, 196571, 2990, 3004, 2965, 2918, 2920, 2898, -5144, 13368, 95505, -2667, 2057, -1448, 939000, 1635000, -69000
3, 196639, 2990, 3004, 2965, 2918, 2920, 2898, -5167, 13296, 95696, -2743, 1981, -1371, 723000, 1587000, -69000
3, 196708, 2990, 3004, 2965, 2918, 2920, 2898, -5191, 13374, 95714, -2667, 1981, -1524, 747000, 1539000, -45000
3, 196776, 2990, 3004, 2965, 2918, 2920, 2898, -5209, 13506, 95649, -2515, 1981, -1371, 891000, 1611000, -63000
3, 196844, 2989, 3004, 2965, 2918, 2920, 2898, -5006, 13201, 95744, -2667, 1981, -1600, 1059000, 1515000, -57000
